E1_1 Int (Treated)	E1_2 Int (Treated)	E1_3 Int (Treated)	E2_1 Int (Treated)	E2_2 Int (Treated)	E2_3 Int (Treated)	E3_1 Int (Treated)	E3_2 Int (Treated)	E3_3 Int (Treated)	F4_1 Int (Treated)	F4_2 Int (Treated)	F4_3 Int (Treated)	F5_1 Int (Treated)	F5_2 Int (Treated)	F5_3 Int (Treated)	F7_1 Int (Treated)	F7_2 Int (Treated)	F7_3 Int (Treated)	C3_1 Int (Treated)	C3_2 Int (Treated)	C3_3 Int (Treated)	E4_1 Int (Treated)	E4_2 Int (Treated)	E4_3 Int (Treated)	E5_1 Int (Treated)	E5_2 Int (Treated)	E5_3 Int (Treated)	E6_1 Int (Treated)	E6_2 Int (Treated)	E6_3 Int (Treated)	F1_1 Int (Treated)	F1_2 Int (Treated)	F1_3 Int (Treated)	F2_1 Int (Treated)	F2_2 Int (Treated)	F2_3 Int (Treated)	F3_1 Int (Treated)	F3_2 Int (Treated)	F3_3 Int (Treated)	F6_1 Int (Treated)	F6_2 Int (Treated)	F6_3 Int (Treated)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.64185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.47842	0	0	0	14.45594	0	15.55864	0	15.5882	0	0	0	0	0	0	0	0	14.59985	0	0	15.72548	0	0	0	0	0	0	0	0	0	16.02072	0	0	0	15.82945	0	0	0	0	14.25462	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0816	13.58737	13.7714	0	0	0	0	11.31106	0	0	0	0	0	0	0	15.37544	15.37544	0	0	0	0	15.66154	12.15911	0	0	0	0
16.29084	0	15.76892	0	16.45334	0	15.8318	0	0	0	0	0	0	0	0	0	0	0	16.25849	0	15.78355	0	0	0	0	15.89377	15.90761	16.21598	16.64519	16.07117	0	0	0	16.1669	0	15.89386	15.8713	0	0	16.21151	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.51753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.67423	15.30384	15.26487	15.24204	14.60881	15.25601	0	0	0	14.24999	14.347	14.48938	14.39271	14.55332	14.56411	14.27999	14.15619	14.36469	0	0	0	15.3324	15.2403	15.36012	15.26447	15.34108	15.32842	15.34448	14.4162	15.20128	0	0	0	0	0	0	15.2441	15.02721	15.16036	14.66408	0	14.37117
16.33622	16.55706	0	16.23147	0	16.26352	0	0	0	0	15.7396	15.84047	15.70986	15.89509	15.87265	16.0366	15.92753	16.00469	16.42312	16.47405	16.23632	16.27579	16.32853	16.41289	0	0	16.38734	15.79399	15.80102	16.24139	0	0	0	0	0	0	16.51068	0	16.45237	15.76811	15.77381	15.57558
14.83774	14.88152	14.89417	14.79626	14.87433	14.90768	14.93454	0	14.20742	14.81726	0	14.22168	14.83762	14.8416	14.76718	14.86601	14.83953	14.86655	14.84432	14.82934	14.71455	14.94778	14.95917	14.05878	14.92776	14.85453	14.86037	14.92766	14.96713	14.96108	14.82576	14.85003	14.89226	14.88422	14.03012	14.74858	0	14.76156	0	0	14.85947	14.78995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.99889	0	15.97047	0	0	0	0	0	0	0	0	0	0	16.02988	15.93839	0	16.0984	16.20882	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.72933	15.72933	0	0	0	15.91498	15.93905	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.23653	17.17285	16.90336	0	0	0	0	0	0	0	0	0	0	0	0	16.695	16.78709	16.75357	0	0	0	0	0	0
15.53494	16.18906	16.17728	16.21387	15.5417	14.47266	16.41759	16.31818	15.95868	15.30715	15.34381	0	15.31488	15.55069	0	15.91363	15.39651	15.58266	0	16.56161	0	16.17891	16.08628	16.03251	0	0	0	0	0	0	16.32259	16.31824	16.4153	0	16.44859	16.44801	16.22912	16.10379	16.07927	0	15.62999	15.29738
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.34264	12.60126	0	0	0	0	10.65041	0	0	0	0	0	9.093696	9.967133	14.69753	14.69753	0	14.85281	0	0	0	10.50328	0	0	0	13.58785
0	17.12715	0	0	0	0	0	16.17852	0	0	16.16727	0	0	0	0	16.08022	16.45033	0	0	0	0	0	0	16.46073	0	0	16.21316	0	0	16.18849	0	0	0	16.07797	0	0	0	0	16.34986	0	0	16.0352
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.56629	13.68898	13.67868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
