A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
14.98309	14.24924	14.77008	14.43384	14.64905	14.31634	14.39598	14.2064	14.90628	14.09196	14.31224	13.6988	13.7554	14.24025	14.35199	14.90609	14.84194	14.20719	14.53827	14.23053	14.24352	14.49663	0	0	14.16218	14.16121	14.02227	14.054	14.09432	14.05338	14.06552	14.39553	14.1557	14.15298	14.44921	14.07768	14.18101	14.1907	14.47118	14.31504	14.12206	14.10477	14.13321	0	14.72237	0	15.06202	15.03865
13.52769	13.53223	13.72901	13.43841	13.44338	13.55597	13.45396	13.5993	13.55631	13.4606	13.70185	13.16615	13.44277	13.04835	13.02117	12.56648	0	0	0	0	0	0	0	0	0	0	0	0	0	13.45847	13.56628	13.5932	13.5948	13.62583	13.44236	13.55763	13.62252	13.56072	13.58348	0	0	0	0	0	0	0	0	0
9.03714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.12499	0	0	10.07899	0	13.07284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.22994	13.66642	0
9.824521	15.67927	15.63028	11.93414	0	0	0	0	11.24745	0	9.089478	12.5376	0	14.99257	15.02195	14.70629	16.42348	14.64094	10.76165	13.10848	11.09704	13.17258	13.71021	13.92926	12.77343	12.75414	13.00929	14.70556	0	0	0	0	8.70613	13.39966	10.54589	11.24667	8.536882	12.51562	8.277051	11.49246	10.66073	10.05451	13.26921	13.63528	12.6095	15.99357	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.29733	0	0	0	0	0	0	0	0	0	0	0	9.213169	0	0	0	0	0	13.56264	0	0	0	0	0	0	14.00323	0	0	0	0	0
14.40313	0	14.42763	14.46572	14.33161	14.40854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.51621	14.49942	0	14.39152	14.40654	14.47327	0	0	0	0	0	0	0	0	0	0	0
14.90231	14.87659	14.94221	14.8637	14.95546	14.90495	15.036	14.86049	15.91202	14.85851	14.95737	14.02133	14.34405	14.79965	14.79019	16.08265	15.44757	14.7198	14.92356	14.8802	14.91236	14.86161	15.70668	14.77181	14.90377	14.83117	14.84777	14.89984	14.82469	14.87825	14.95509	14.92272	15.01435	14.94213	14.84302	14.90133	14.91529	14.92313	14.8985	14.91554	14.95251	14.93424	14.73177	15.6802	15.78028	14.61499	14.09205	14.12731
13.88572	0	0	14.04529	0	0	13.93893	14.04411	13.68981	13.84886	0	0	0	0	13.74327	0	0	0	13.99899	14.12336	0	0	0	0	0	0	0	0	0	13.95219	0	0	0	0	14.31882	0	0	0	0	14.00781	0	0	0	0	0	0	0	0
0	0	17.16968	16.94686	16.93191	16.89747	16.10617	0	0	0	0	0	0	13.49949	13.24218	0	0	15.75436	0	0	0	0	0	0	0	0	0	0	0	0	16.86558	0	16.81789	16.54968	16.50515	16.64257	16.37891	16.33889	16.2337	0	0	0	0	0	0	0	0	0
14.58047	14.44977	14.64402	14.85732	14.52324	14.45349	14.49572	14.42464	13.43949	14.2874	14.2072	14.45748	14.4495	14.06374	14.06193	13.90192	13.81499	14.26226	14.06165	14.22104	14.16709	13.98583	13.94501	0	0	0	0	13.37219	0	0	14.25444	14.00255	14.42504	14.54073	14.62918	14.35909	14.53074	14.30967	14.02274	14.31778	14.24222	14.15936	0	0	14.04376	0	0	0
15.07295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.14435	15.59481	13.76983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.08701	15.17435	0	0	0	15.47964
14.23848	14.57214	14.45881	14.32097	14.80373	14.39292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.33625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
